Query Term: 1
Weighting Scheme: TFIDF
1 C.A.1.pdf 0.025
2 C.A.2.pdf 0.046
3 C.A.3.pdf 0.008
4 C.A.4.pdf 0.0
5 C.A.5.pdf 0.009
6 C.A.6.pdf 0.031
7 C.A.7.pdf 0.012
8 C.A.8.pdf 0.031
9 C.A.10.pdf 0.011
10 C.A.13.pdf 0.007
11 C.A.17.pdf 0.009
12 C.A.18.pdf 0.033
13 C.A.19.pdf 0.032
14 C.A.20.pdf 0.032
15 C.A.21.pdf 0.019
16 C.A.22.pdf 0.0
17 C.A.23.pdf 0.008
18 C.A.24.pdf 0.028
19 C.A.25.pdf 0.0
20 C.A.27.pdf 0.024
21 C.A.28.pdf 0.0
22 C.A.29.pdf 0.014
23 C.A.30.pdf 0.014
24 C.A.31.pdf 0.035
25 C.A.32.pdf 0.008
26 C.A.33.pdf 0.008
27 C.A.34.pdf 0.013
28 C.A.35.pdf 0.037
29 C.A.36.pdf 0.0
30 C.A.37.pdf 0.013
31 C.A.38.pdf 0.026
32 C.A.39.pdf 0.048
33 C.A.40.pdf 0.016
34 C.A.41.pdf 0.04
35 C.A.42.pdf 0.009
36 C.A.44.pdf 0.0
37 C.A.45.pdf 0.029
38 C.A.46.pdf 0.018
39 C.A.47.pdf 0.056
40 C.A.48.pdf 0.01
41 C.A.49.pdf 0.0
42 C.A.50.pdf 0.015
43 C.A.51.pdf 0.011
44 C.A.52.pdf 0.012
45 C.A.53.pdf 0.005
46 C.A.54.pdf 0.036
47 C.A.55.pdf 0.007
48 C.A.59.pdf 0.007
49 C.A.60.pdf 0.009
50 C.A.61.pdf 0.052
51 C.A.62.pdf 0.006
52 C.A.63.pdf 0.032
53 C.A.64.pdf 0.042
54 C.A.65.pdf 0.008
55 C.A.66.pdf 0.024
56 C.A.67.pdf 0.016
57 C.A.68.pdf 0.034
58 C.A.69.pdf 0.0
59 C.A.70.pdf 0.0
60 C.A.71.pdf 0.006
61 C.A.72.pdf 0.0
62 C.A.73.pdf 0.009
63 C.A.74.pdf 0.019
64 C.A.75.pdf 0.0
65 C.A.76.pdf 0.0
66 C.A.77.pdf 0.0
67 C.A.78.pdf 0.0
68 C.A.79.pdf 0.034
69 C.A.80.pdf 0.032
70 C.A.81.pdf 0.047
71 C.A.82.pdf 0.016
72 C.A.83.pdf 0.014
73 C.A.84.pdf 0.0
74 C.A.85.pdf 0.0
75 C.A.86.pdf 0.0
76 C.A.87.pdf 0.031
77 C.A.88.pdf 0.0
78 C.A.89.pdf 0.012
79 C.A.90.pdf 0.0
80 C.A.91.pdf 0.008
81 C.A.92.pdf 0.041
82 C.A.93.pdf 0.052
83 C.A.94.pdf 0.076
84 C.A.95.pdf 0.0
85 C.A.96.pdf 0.036
86 C.A.97.pdf 0.055
87 C.A.98.pdf 0.0
88 C.A.99.pdf 0.0
89 C.A.100.pdf 0.026
90 C.A.101.pdf 0.044
91 C.A.102.pdf 0.055
92 C.A.103.pdf 0.0
93 C.A.104.pdf 0.045
94 C.A.105.pdf 0.036
95 C.A.106.pdf 0.043
96 C.A.107.pdf 0.037
97 C.A.108.pdf 0.027
98 C.A.109.pdf 0.0
99 C.A.110.pdf 0.006
100 C.A.111.pdf 0.006
101 C.A.112.pdf 0.0
102 C.A.114.pdf 0.053
103 C.A.115.pdf 0.036
104 C.A.116.pdf 0.047
105 C.A.117.pdf 0.026
106 C.A.120.pdf 0.0
107 C.A.121.pdf 0.0
108 C.A.122.pdf 0.0
109 C.A.123.pdf 0.036
110 C.A.124.pdf 0.021
111 C.A.125.pdf 0.0
112 C.A.126.pdf 0.033
113 C.A.127.pdf 0.0
114 C.A.128.pdf 0.0
115 C.A.129.pdf 0.0
116 C.A.132.pdf 0.0
117 C.A.134.pdf 0.033
118 C.A.135.pdf 0.042
119 C.A.136.pdf 0.039
120 C.A.137.pdf 0.0
121 C.A.138.pdf 0.061
122 C.A.139.pdf 0.046
123 C.A.140.pdf 0.045
124 C.A.141.pdf 0.037
125 C.A.142.pdf 0.0
126 C.A.144.pdf 0.042
127 C.A.145.pdf 0.061
128 C.A.146.pdf 0.045
129 C.A.147.pdf 0.011
130 C.A.148.pdf 0.035
131 C.A.149.pdf 0.0
132 C.A.150.pdf 0.017
133 C.A.151.pdf 0.015
134 C.A.152.pdf 0.028
135 C.A.153.pdf 0.046
136 C.A.154.pdf 0.045
137 C.A.155.pdf 0.064
138 C.A.156.pdf 0.042
139 C.A.157.pdf 0.0
140 C.A.158.pdf 0.031
141 C.A.159.pdf 0.009
142 C.A.160.pdf 0.052
143 C.A.161.pdf 0.0
144 C.A.163.pdf 0.0
145 C.A.164.pdf 0.041
146 C.A.171.pdf 0.0
147 C.A.172.pdf 0.068
148 C.A.173.pdf 0.023
149 C.A.174.pdf 0.059
150 C.A.175.pdf 0.0
151 C.A.184.pdf 0.032
152 C.A.185.pdf 0.054
153 C.A.186.pdf 0.023
154 C.A.187.pdf 0.055
155 C.A.188.pdf 0.028
156 C.A.189.pdf 0.02
157 C.A.190.pdf 0.074
158 C.A.191.pdf 0.026
159 C.A.192.pdf 0.03
160 C.A.193.pdf 0.056
161 C.A.194.pdf 0.042
162 C.A.195.pdf 0.053
163 C.A.196.pdf 0.074
164 C.A.197.pdf 0.0
165 C.A.198.pdf 0.032
166 C.A.199.pdf 0.011
167 C.A.200.pdf 0.0
168 C.A.206.pdf 0.067
169 C.A.207.pdf 0.02
170 C.A.208.pdf 0.036
171 C.A.209.pdf 0.022
172 C.A.210.pdf 0.016
173 C.A.211.pdf 0.0
174 C.A.212.pdf 0.0
175 C.A.213.pdf 0.016
176 C.A.214.pdf 0.043
177 C.A.218.pdf 0.051
178 C.A.219.pdf 0.036
179 C.A.222.pdf 0.0
180 C.A.226.pdf 0.0
181 C.A.229.pdf 0.019
182 C.A.230.pdf 0.035
183 C.A.232.pdf 0.013
